id,name,category,price,description
item_1,Fashion Item 1,Dress,65.51,This eco-friendly t-shirt is made from organic cotton.
item_2,Fashion Item 2,Dress,64.74,A pair of stylish jeans made from recycled materials.
item_3,Fashion Item 3,T-Shirt,79.19,A warm jacket with sustainable insulation.
item_4,Fashion Item 4,T-Shirt,20.55,A beautiful dress crafted from biodegradable fabric.
item_5,Fashion Item 5,Dress,53.15,Comfortable shoes made with renewable resources.
item_6,Fashion Item 6,T-Shirt,39.71,This eco-friendly t-shirt is made from organic cotton.
item_7,Fashion Item 7,Jacket,99.59,A pair of stylish jeans made from recycled materials.
item_8,Fashion Item 8,T-Shirt,60.08,A warm jacket with sustainable insulation.
item_9,Fashion Item 9,Dress,17.4,A beautiful dress crafted from biodegradable fabric.
item_10,Fashion Item 10,Jeans,31.53,Comfortable shoes made with renewable resources.
item_11,Fashion Item 11,Shoes,52.82,This eco-friendly t-shirt is made from organic cotton.
item_12,Fashion Item 12,Jeans,48.79,A pair of stylish jeans made from recycled materials.
item_13,Fashion Item 13,Jeans,97.74,A warm jacket with sustainable insulation.
item_14,Fashion Item 14,Shoes,76.32,A beautiful dress crafted from biodegradable fabric.
item_15,Fashion Item 15,Jeans,10.6,Comfortable shoes made with renewable resources.
item_16,Fashion Item 16,Shoes,27.36,This eco-friendly t-shirt is made from organic cotton.
item_17,Fashion Item 17,T-Shirt,10.84,A pair of stylish jeans made from recycled materials.
item_18,Fashion Item 18,Dress,92.03,A warm jacket with sustainable insulation.
item_19,Fashion Item 19,Jeans,22.48,A beautiful dress crafted from biodegradable fabric.
item_20,Fashion Item 20,Dress,13.17,Comfortable shoes made with renewable resources.
item_21,Fashion Item 21,Shoes,59.05,This eco-friendly t-shirt is made from organic cotton.
item_22,Fashion Item 22,Dress,73.41,A pair of stylish jeans made from recycled materials.
item_23,Fashion Item 23,Dress,54.46,A warm jacket with sustainable insulation.
item_24,Fashion Item 24,Dress,28.79,A beautiful dress crafted from biodegradable fabric.
item_25,Fashion Item 25,Dress,75.69,Comfortable shoes made with renewable resources.
item_26,Fashion Item 26,T-Shirt,36.88,This eco-friendly t-shirt is made from organic cotton.
item_27,Fashion Item 27,Shoes,25.3,A pair of stylish jeans made from recycled materials.
item_28,Fashion Item 28,Jacket,90.54,A warm jacket with sustainable insulation.
item_29,Fashion Item 29,Jacket,42.41,A beautiful dress crafted from biodegradable fabric.
item_30,Fashion Item 30,Shoes,38.49,Comfortable shoes made with renewable resources.
item_31,Fashion Item 31,Jeans,66.09,This eco-friendly t-shirt is made from organic cotton.
item_32,Fashion Item 32,Dress,90.7,A pair of stylish jeans made from recycled materials.
item_33,Fashion Item 33,Jacket,31.75,A warm jacket with sustainable insulation.
item_34,Fashion Item 34,Jeans,61.39,A beautiful dress crafted from biodegradable fabric.
item_35,Fashion Item 35,Jacket,31.66,Comfortable shoes made with renewable resources.
item_36,Fashion Item 36,Shoes,49.7,This eco-friendly t-shirt is made from organic cotton.
item_37,Fashion Item 37,Dress,37.15,A pair of stylish jeans made from recycled materials.
